	gene_symbol
0	1/2-SBSRNA4
1	3.8-1.2
2	3.8-1.3
3	3.8-1.4
4	3.8-1.5
5	5-HT3C2
6	61E3.4
7	A12M4
8	A1BG
9	A1BG-AS1
10	A1CF
11	A2LD1
12	A2M
13	A2ML1
14	A2MP1
15	A3GALT2P
16	A4GALT
17	A4GNT
18	AAA1
19	AAAS
20	AACP
21	AACS
22	AACSP1
23	AADAC
24	AADACL2
25	AADACL3
26	AADACL4
27	AADAT
28	AAGAB
29	AAK1
30	AAMP
31	AANAT
32	AARS
33	AARS2
34	AARSD1
35	AASDH
36	AASDHPPT
37	AASS
38	AAT1
39	AAT2
40	AATF
41	AATK
42	AATK-AS1
43	AAVS1
44	ABAT
45	ABCA1
46	ABCA10
47	ABCA11P
48	ABCA12
49	ABCA13
50	ABCA17P
51	ABCA2
52	ABCA3
53	ABCA4
54	ABCA5
55	ABCA6
56	ABCA7
57	ABCA8
58	ABCA9
59	ABCB1
60	ABCB10
61	ABCB10P1
62	ABCB10P3
63	ABCB11
64	ABCB4
65	ABCB5
66	ABCB6
67	ABCB7
68	ABCB8
69	ABCB9
70	ABCC1
71	ABCC10
72	ABCC11
73	ABCC12
74	ABCC13
75	ABCC2
76	ABCC3
77	ABCC4
78	ABCC5
79	ABCC6
80	ABCC6P1
81	ABCC6P2
82	ABCC8
83	ABCC9
84	ABCD1
85	ABCD1P1
86	ABCD1P2
87	ABCD1P3
88	ABCD1P4
89	ABCD1P5
90	ABCD2
91	ABCD3
92	ABCD4
93	ABCE1
94	ABCF1
95	ABCF2
96	ABCF3
97	ABCG1
98	ABCG2
99	ABCG4
100	ABCG5
101	ABCG8
102	ABHD1
103	ABHD10
104	ABHD11
105	ABHD11-AS1
106	ABHD12
107	ABHD12B
108	ABHD13
109	ABHD14A
110	ABHD14B
111	ABHD15
112	ABHD16A
113	ABHD16B
114	ABHD2
115	ABHD3
116	ABHD4
117	ABHD5
118	ABHD6
119	ABHD8
120	ABI1
121	ABI1P1
122	ABI2
123	ABI3
124	ABI3BP
125	ABL1
126	ABL2
127	ABLIM1
128	ABLIM2
129	ABLIM3
130	ABO
131	ABP1
132	ABR
133	ABRA
134	ABT1
135	ABTB1
136	ABTB2
137	ACAA1
138	ACAA2
139	ACACA
140	ACACB
141	ACAD10
142	ACAD11
143	ACAD8
144	ACAD9
145	ACADL
146	ACADM
147	ACADS
148	ACADSB
149	ACADVL
150	ACAN
151	ACAP1
152	ACAP2
153	ACAP3
154	ACAT1
155	ACAT2
156	ACBD3
157	ACBD4
158	ACBD5
159	ACBD6
160	ACBD7
161	ACCN1
162	ACCN2
163	ACCN3
164	ACCN4
165	ACCN5
166	ACCS
167	ACCSL
168	ACD
169	ACE
170	ACE2
171	ACER1
172	ACER2
173	ACER3
174	ACF
175	ACHE
176	ACIN1
177	ACLS
178	ACLY
179	ACMSD
180	ACN9
181	ACO1
182	ACO2
183	ACOT1
184	ACOT11
185	ACOT12
186	ACOT13
187	ACOT2
188	ACOT4
189	ACOT6
190	ACOT7
191	ACOT8
192	ACOT9
193	ACOX1
194	ACOX2
195	ACOX3
196	ACOXL
197	ACP1
198	ACP2
199	ACP5
200	ACP6
201	ACPL2
202	ACPP
203	ACPT
204	ACR
205	ACRBP
206	ACRC
207	ACRPS
208	ACRPV
209	ACRV1
210	ACSBG1
211	ACSBG2
212	ACSF2
213	ACSF3
214	ACSL1
215	ACSL3
216	ACSL4
217	ACSL5
218	ACSL6
219	ACSM1
220	ACSM2A
221	ACSM2B
222	ACSM3
223	ACSM4
224	ACSM5
225	ACSS1
226	ACSS2
227	ACSS3
228	ACT
229	ACTA1
230	ACTA2
231	ACTB
232	ACTBL2
233	ACTBP11
234	ACTBP12
235	ACTBP2
236	ACTBP3
237	ACTBP4
238	ACTBP7
239	ACTBP8
240	ACTBP9
241	ACTC1
242	ACTG1
243	ACTG1P1
244	ACTG1P10
245	ACTG1P11
246	ACTG1P2
247	ACTG1P3
248	ACTG1P4
249	ACTG1P6
250	ACTG1P7
251	ACTG1P8
252	ACTG1P9
253	ACTG2
254	ACTL6A
255	ACTL6B
256	ACTL7A
257	ACTL7B
258	ACTL8
259	ACTL9
260	ACTN1
261	ACTN2
262	ACTN3
263	ACTN4
264	ACTR10
265	ACTR1A
266	ACTR1B
267	ACTR2
268	ACTR3
269	ACTR3B
270	ACTR3BP1
271	ACTR3BP2
272	ACTR3BP3
273	ACTR3BP5
274	ACTR3BP6
275	ACTR3C
276	ACTR5
277	ACTR6
278	ACTR8
279	ACTRT1
280	ACTRT2
281	ACVR1
282	ACVR1B
283	ACVR1C
284	ACVR2A
285	ACVR2B
286	ACVRL1
287	ACY1
288	ACY3
289	ACYP1
290	ACYP2
291	AD5
292	AD6
293	AD7
294	AD7C-NTP
295	AD9
296	ADA
297	ADAD1
298	ADAD2
299	ADAL
300	ADAM1
301	ADAM10
302	ADAM11
303	ADAM12
304	ADAM15
305	ADAM17
306	ADAM18
307	ADAM19
308	ADAM2
309	ADAM20
310	ADAM21
311	ADAM21P1
312	ADAM22
313	ADAM23
314	ADAM24P
315	ADAM28
316	ADAM29
317	ADAM30
318	ADAM32
319	ADAM33
320	ADAM3A
